"cohort_month","cohort_index","active_customers","total_revenue"
"2009-12",0,953,782763.26
"2009-12",1,337,466429.78
"2009-12",2,320,321646.24
"2009-12",3,405,488822.49
"2009-12",4,364,389749.56
"2009-12",5,342,353427.64
"2009-12",6,359,410772.0
"2009-12",7,328,366900.17
"2009-12",8,321,410223.58
"2009-12",9,346,466598.31
"2009-12",10,402,571225.19
"2009-12",11,474,809067.0
"2009-12",12,359,872332.04
"2009-12",13,268,349968.13
"2009-12",14,231,274987.63
"2009-12",15,288,365741.27
"2009-12",16,251,228025.5
"2009-12",17,287,374735.5
"2009-12",18,270,358239.12
"2009-12",19,249,370846.73
"2009-12",20,242,373525.96
"2009-12",21,301,473754.08
"2009-12",22,290,497820.67
"2009-12",23,388,774398.6
"2009-12",24,189,273040.81
"2010-01",0,383,160674.2
"2010-01",1,78,37753.65
"2010-01",2,119,51005.06
"2010-01",3,116,56238.01
"2010-01",4,101,58457.16
"2010-01",5,114,51265.75
"2010-01",6,99,51235.64
"2010-01",7,88,46025.04
"2010-01",8,107,58612.78
"2010-01",9,122,72443.72
"2010-01",10,115,76227.28
"2010-01",11,64,50998.84
"2010-01",12,85,42093.92
"2010-01",13,69,34928.38
"2010-01",14,73,46882.15
"2010-01",15,59,31381.28
"2010-01",16,91,48713.39
"2010-01",17,77,41006.95
"2010-01",18,71,46600.47
"2010-01",19,75,40603.28
"2010-01",20,93,58325.31
"2010-01",21,74,57727.16
"2010-01",22,94,58715.02
"2010-01",23,22,8825.86
"2010-02",0,375,170842.88
"2010-02",1,89,33367.18
"2010-02",2,85,54933.1
"2010-02",3,108,53021.52
"2010-02",4,92,43923.74
"2010-02",5,75,39184.48
"2010-02",6,71,39956.34
"2010-02",7,106,51113.43
"2010-02",8,95,53038.3
"2010-02",9,102,54568.54
"2010-02",10,43,36729.16
"2010-02",11,47,19176.47
"2010-02",12,56,27655.15
"2010-02",13,65,34509.66
"2010-02",14,46,20756.16
"2010-02",15,74,37853.69
"2010-02",16,59,29072.13
"2010-02",17,60,33181.06
"2010-02",18,55,25415.49
"2010-02",19,85,45391.34
"2010-02",20,86,46046.54
"2010-02",21,61,36908.17
"2010-02",22,22,11147.57
"2010-03",0,442,228124.29
"2010-03",1,84,46743.21
"2010-03",2,102,49460.31
"2010-03",3,107,59635.59
"2010-03",4,102,50135.16
"2010-03",5,90,53455.2
"2010-03",6,109,64349.65
"2010-03",7,134,75861.13
"2010-03",8,120,68902.17
"2010-03",9,47,29706.58
"2010-03",10,50,24429.49
"2010-03",11,63,30026.29
"2010-03",12,89,42582.07
"2010-03",13,72,41978.57
"2010-03",14,89,47199.32
"2010-03",15,74,31224.73
"2010-03",16,77,41587.04
"2010-03",17,69,50034.4
"2010-03",18,78,47470.24
"2010-03",19,89,57506.93
"2010-03",20,94,61142.44
"2010-03",21,35,16260.24
"2010-04",0,292,123475.69
"2010-04",1,57,19036.35
"2010-04",2,57,20324.24
"2010-04",3,48,30117.85
"2010-04",4,54,21444.76
"2010-04",5,66,30846.57
"2010-04",6,81,35241.4
"2010-04",7,77,32775.0
"2010-04",8,31,15337.2
"2010-04",9,32,16862.72
"2010-04",10,21,6119.09
"2010-04",11,41,16452.12
"2010-04",12,41,21437.75
"2010-04",13,46,22733.14
"2010-04",14,46,16795.42
"2010-04",15,46,22044.17
"2010-04",16,41,16624.39
"2010-04",17,43,18911.35
"2010-04",18,53,32088.93
"2010-04",19,66,30021.6
"2010-04",20,17,4942.97
"2010-05",0,254,99442.42
"2010-05",1,40,13674.35
"2010-05",2,43,14181.6
"2010-05",3,44,12853.18
"2010-05",4,45,16861.31
"2010-05",5,65,31325.86
"2010-05",6,54,23404.49
"2010-05",7,32,13774.49
"2010-05",8,15,5883.27
"2010-05",9,21,7238.21
"2010-05",10,29,9274.83
"2010-05",11,34,13204.96
"2010-05",12,39,17426.6
"2010-05",13,39,18105.5
"2010-05",14,25,10314.72
"2010-05",15,32,14716.95
"2010-05",16,35,22223.68
"2010-05",17,42,17739.15
"2010-05",18,39,15937.99
"2010-05",19,12,3422.64
"2010-06",0,267,117757.21
"2010-06",1,47,16117.36
"2010-06",2,51,22606.3
"2010-06",3,55,24153.02
"2010-06",4,62,34038.97
"2010-06",5,77,47570.53
"2010-06",6,34,25117.59
"2010-06",7,24,16962.43
"2010-06",8,22,22850.41
"2010-06",9,32,27940.06
"2010-06",10,29,11877.15
"2010-06",11,37,28186.12
"2010-06",12,40,39929.29
"2010-06",13,33,15793.52
"2010-06",14,30,45114.32
"2010-06",15,33,17086.4
"2010-06",16,36,38170.1
"2010-06",17,55,26107.93
"2010-06",18,14,4462.42
"2010-07",0,186,75377.76
"2010-07",1,29,8396.9
"2010-07",2,34,13809.39
"2010-07",3,55,25007.65
"2010-07",4,54,28923.3
"2010-07",5,26,15837.27
"2010-07",6,21,9118.8
"2010-07",7,27,10521.4
"2010-07",8,27,10426.58
"2010-07",9,21,9996.37
"2010-07",10,25,9201.44
"2010-07",11,27,12655.11
"2010-07",12,25,12311.72
"2010-07",13,25,14324.67
"2010-07",14,36,15787.5
"2010-07",15,32,15717.63
"2010-07",16,44,22697.12
"2010-07",17,15,7183.3
"2010-08",0,162,61158.84
"2010-08",1,33,13829.9
"2010-08",2,48,23148.76
"2010-08",3,52,23544.82
"2010-08",4,28,22405.55
"2010-08",5,19,5432.59
"2010-08",6,16,5307.13
"2010-08",7,20,7288.02
"2010-08",8,22,9863.43
"2010-08",9,20,6743.21
"2010-08",10,21,7274.44
